id,duration
7MKFuMwUX8liNlGc3HObYX,240644
0GBvEtQPGcmz6Y0xHeQHS6,391935
299vmLW2iaQxe8y9HLWNiH,173846
2HUMN0kyvKMVWBiI1jIlvV,424234
4Y3pFcQT3tNHovVgRPnFob,161893
3hnFs7r82aU4OBoygZPmLV,188000
0TTYTR4AZ1D8V515nyGynU,456853
6BAN3aAd99anwTOAv7VmKh,132093
3nrwq2UMT025ZfuNzZdCGS,401906
2QOgqwD5LGbYjneDPaO8Lq,131000
1o4XNQ5Cs7M8K4vim9PKgl,387096
2NfVHE4YOdd7kvO2IjQil0,466941
1Oam4yFBf7JBSEYxPO5xYv,535972
6iLkymGTZUuNWFIDkD5aX6,388571
5ilkrJ2rvP1mZXchgkIEGP,166099
3Dv1eDb0MEgF93GpLXlucZ,237893
3pVQUCv6aWJ4Gc29qkakhZ,148000
2LI8zrM26Zc7PdnS5kpld0,322337
1AqemxWsT0iGg5Lvkm16Bt,192973
3mNXKbWX8ZAL8AW97dnoLq,365968
4ks2lTPmQqrRwiy71DdVQ1,351219
3N3HpcVZGHKRz94fox04t1,411003
28FGcjHxypQO23boeoKISY,251086
5OkYfk72CNL8XLqa3gp9q7,282560
7EZnK6OcRKT1wuPuu6ZV3h,489933
4N9xiSMFmnJxUzR9h9tZuk,407040
68UquEcINaj5mkfN0thLw5,390243
08FEIdkjUzO80gKCfLqM1g,410810
5TQxS54o7gw5KOxikHxnUi,269400
63zn2RLQpGsgCTjWbk6rya,160089
4tPQDofr1qmip4bbWFs9Qf,487619
3QAyC3lilsgZ2ZyzMHibYN,159000
58DOg0rNP4kAuXvHL3ivXt,233750
0IGSz0dzwfcon4rI6kyLTU,474418
1rNvi5tSwyjW2gFPtwm5IK,132117
7MNAwX80omqg8cBReSq2Me,332903
7C47b9CF7ilAj6tNDe6NyQ,210548
703Y8dw2MMfEodrw5D6hDd,92250
2kQFL9xRZjOykTBT75aTxb,159245
4o7Rszx7VVCzrCr1RPlPot,192000
7BItGf8b7l1xFHmcRUGqZP,146341
66Ix0ukOUx2azNujahz94S,217942
1Ttu4TYbFIXYDFzOgfVedO,184816
0tAFy8LVdMQgW6A6Nq7olS,195790
6xrsoTWyI9KrnQja71ecdO,370004
5pLV5CcIcHRkiyk7XFl8Uy,257279
6UFSJF8pGDYJelHoadqPEe,204580
3WEpdXW3w1Mvwtk4Lqyt60,110344
11gS3Rar2FWMNuLJ7n2iSP,143125
3H0ZT9YkGlYH9rNIcB4ysg,408595
628cJ7haTwQk64mghCWkbb,450133
2EecQewdp2XZDO76KoZVtY,294415
2frCIw9CzEeFf1kxaBqONi,139245
51HgBYRV0YivvvQMyptpYH,161280
5WL6VbqrAs7qYsMkCvShoN,257851
7GTVGnTKbwKmHIbHSEas5O,352000
17N6OOiHl7WMkUQZ2x9P1F,308874
2KyJ1iwhAS4godpoIR5eYI,204294
3aQV6E290SJvasp2VOgvBz,140369
3P64WezGLLzkWhfIu0rRSq,204240
2ZQRfelYOFQ6i6A9rTx73j,229835
5UJyTXNRd9nY2D7q9OfbRE,365301
25CNrEEJa7OHKUHjirHfqm,201000
08E0TIudwefGjA27W4zrnf,267750
0CtDRAjSi26orDkncqMQsy,226750
1OD2YXIOmfYmBAYfV1maRV,231640
71rHHK9L22rVdmofJTjuSd,174480
7k6OEvolAy5WjWKAZRgBil,208451
34sGnIHB3ZthMvHpNX1i7e,281746
06gvE5dPxo5WXuwpVxcUWJ,284000
2lv5WyqONymgC5k1MN2q2s,182500
2E3J6m0Q4uyKC2eMVonWfC,326986
3YbixaLoMdkDew5lHCWL7g,332914
0I2qVDrbiihbxLDL6Grm1G,203021
